Company,complaints,top_issue
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",8972,Incorrect information on your report
"EQUIFAX, INC.",8959,Incorrect information on your report
Experian Information Solutions Inc.,8882,Incorrect information on your report
JPMORGAN CHASE & CO.,721,Managing an account
CAPITAL ONE FINANCIAL CORPORATION,676,Improper use of your report
WELLS FARGO & COMPANY,544,Managing an account
"BANK OF AMERICA, NATIONAL ASSOCIATION",504,Managing an account
"CITIBANK, N.A.",431,Problem with a purchase shown on your statement
AMERICAN EXPRESS COMPANY,361,Trouble using the card
MOHELA,339,Dealing with your lender or servicer
SYNCHRONY FINANCIAL,329,Problem with a purchase shown on your statement
"Nelnet, Inc.",238,Dealing with your lender or servicer
Resurgent Capital Services L.P.,237,Attempts to collect debt not owed
"Paypal Holdings, Inc",230,Trouble accessing funds in your mobile or digital wallet
"Bread Financial Holdings, Inc.",212,Fees or interest
